Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
WW3-1.1	(1.0, 69.57146493496667)	(2.0, 20.196846144092806)	(3.0, 4.828820677234703)	(4.0, 1.502103135706539)	(5.0, 0.6075533906598547)	(6.0, 0.39695895052941477)	(7.0, 0.2590147181731842)	(8.0, 0.24733970450013437)	(9.0, 0.16715542697374483)	('>10', 1.5146362685235368)	('>50', 0.10384687824253663)	('>100', 0.18620637118425806)	('>500', 0.060974826146385615)	('>1k', 0.24446144442950674)	('>5k', 0.11261712863668569)	('>10k+', 0.0)
WW3-1.2	(1.0, 69.68746102346984)	(2.0, 20.098547239372483)	(3.0, 4.920416983757507)	(4.0, 1.4176665880366701)	(5.0, 0.6007635508558601)	(6.0, 0.35598754223466983)	(7.0, 0.2691504019831704)	(8.0, 0.22831768768123126)	(9.0, 0.21153689541423765)	('>10', 1.5314123717970223)	('>50', 0.11272053749693148)	('>100', 0.19132012383066704)	('>500', 0.04730307879488152)	('>1k', 0.2528629974421726)	('>5k', 0.07453297783264615)	('>10k+', 0.0)
WW5-1.1	(1.0, 66.43473476388239)	(2.0, 21.74997733694423)	(3.0, 6.018991434483673)	(4.0, 1.856477101450791)	(5.0, 0.7597075920386764)	(6.0, 0.4279168118117226)	(7.0, 0.3090357768608828)	(8.0, 0.26822278088471496)	(9.0, 0.20417688755930688)	('>10', 1.3247743619919938)	('>50', 0.09780285832330665)	('>100', 0.2033889633256944)	('>500', 0.08769642558671287)	('>1k', 0.20916635228224542)	('>5k', 0.04793055257356879)	('>10k+', 0.0)
WW5-1.2	(1.0, 66.62620529306939)	(2.0, 21.783783268991964)	(3.0, 5.94297572457382)	(4.0, 1.6930528064144599)	(5.0, 0.7909826893846202)	(6.0, 0.4280493987268469)	(7.0, 0.3372338874120068)	(8.0, 0.25926108793100217)	(9.0, 0.22134300529254658)	('>10', 1.310268296726581)	('>50', 0.09868097808925283)	('>100', 0.20296766120343596)	('>500', 0.06871493036613369)	('>1k', 0.19349587006696056)	('>5k', 0.04298510175087707)	('>10k+', 0.0)
WW5-3.1	(1.0, 66.94910050295292)	(2.0, 21.407254304548555)	(3.0, 5.793729320187928)	(4.0, 1.6409888510744535)	(5.0, 0.7293928342803195)	(6.0, 0.424718436301704)	(7.0, 0.3199094276878776)	(8.0, 0.2389539523343834)	(9.0, 0.17389379117988601)	('>10', 1.6838271199474213)	('>50', 0.08942921028601811)	('>100', 0.2030891732581732)	('>500', 0.06696864227984456)	('>1k', 0.17535743006411)	('>5k', 0.07617553690013962)	('>10k+', 0.027211466716231147)
WW5-3.2	(1.0, 67.7080584381918)	(2.0, 20.919796036846467)	(3.0, 5.543769678407352)	(4.0, 1.7444205936276418)	(5.0, 0.6975709910534859)	(6.0, 0.4178220507479629)	(7.0, 0.30394668073809966)	(8.0, 0.2490610072070624)	(9.0, 0.16589645039537937)	('>10', 1.6389938338360495)	('>50', 0.10139489013497893)	('>100', 0.19159327884006763)	('>500', 0.05412875753183588)	('>1k', 0.1855497811156981)	('>5k', 0.05310587388247088)	('>10k+', 0.024891657443702222)
WW5-4.1	(1.0, 79.57886108691066)	(2.0, 14.024677844930778)	(3.0, 2.817111523933468)	(4.0, 0.890114470401236)	(5.0, 0.46803652454129624)	(6.0, 0.3300867062162089)	(7.0, 0.2551141223676298)	(8.0, 0.18994639057784168)	(9.0, 0.17209995705776693)	('>10', 0.804141461172226)	('>50', 0.07651578997079099)	('>100', 0.11312601177842839)	('>500', 0.09402911756693086)	('>1k', 0.18613899257468683)	('>5k', 0.0)	('>10k+', 0.0)
WW5-4.2	(1.0, 79.636232768887)	(2.0, 13.914233050144054)	(3.0, 2.7877688175752047)	(4.0, 0.902357412896612)	(5.0, 0.5043124205013446)	(6.0, 0.33720969284196073)	(7.0, 0.24912133373830686)	(8.0, 0.20716957819846554)	(9.0, 0.18530229293802963)	('>10', 0.8246569159526509)	('>50', 0.09035639157670572)	('>100', 0.11294306032782642)	('>500', 0.08538883670161226)	('>1k', 0.16294742772018334)	('>5k', 0.0)	('>10k+', 0.0)
WW5-5.1	(1.0, 61.49560692971787)	(2.0, 24.06785273057862)	(3.0, 7.183158186899723)	(4.0, 2.4035487447373196)	(5.0, 0.878264051960661)	(6.0, 0.47557259445894107)	(7.0, 0.30063321775760693)	(8.0, 0.2447360343112146)	(9.0, 0.1867296569134353)	('>10', 2.1454890495160917)	('>50', 0.17451147281252813)	('>100', 0.153647422456709)	('>500', 0.033370127486711254)	('>1k', 0.19280981631288657)	('>5k', 0.06406996407976422)	('>10k+', 0.0)
WW5-5.2	(1.0, 61.71842232544348)	(2.0, 23.847146431003196)	(3.0, 7.231128821163225)	(4.0, 2.321252047249141)	(5.0, 0.9265385737740619)	(6.0, 0.44566121914484624)	(7.0, 0.32978654094950566)	(8.0, 0.24079105485697827)	(9.0, 0.18778576755033066)	('>10', 2.188796075685063)	('>50', 0.15029653851635863)	('>100', 0.16052210681694032)	('>500', 0.035017590225419386)	('>1k', 0.16871158309165116)	('>5k', 0.048143324529742994)	('>10k+', 0.0)
WW5-6.1	(1.0, 77.67262154611016)	(2.0, 14.86095469324674)	(3.0, 3.1073394725862666)	(4.0, 1.0056686307996303)	(5.0, 0.5378968109298231)	(6.0, 0.3116795817183179)	(7.0, 0.2729781700224959)	(8.0, 0.17963464000649731)	(9.0, 0.18502572890006574)	('>10', 1.285349970998309)	('>50', 0.11815811198832127)	('>100', 0.17512502844753156)	('>500', 0.10164189700781953)	('>1k', 0.16621706988628598)	('>5k', 0.01970864735171397)	('>10k+', 0.0)
WW5-6.2	(1.0, 77.97816841739822)	(2.0, 14.720029026227344)	(3.0, 3.040323958769621)	(4.0, 0.947869935927685)	(5.0, 0.5300323309137414)	(6.0, 0.32686025798521595)	(7.0, 0.2539154403718931)	(8.0, 0.21703827760084637)	(9.0, 0.17193155562471898)	('>10', 1.2817284287989414)	('>50', 0.11724444140696208)	('>100', 0.15549517054806467)	('>500', 0.1081520014857766)	('>1k', 0.15121075694099165)	('>5k', 0.0)	('>10k+', 0.0)
