Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
WW5-1.1	(21.0, 3.0)	(22.0, 22.0)	(23.0, 285.0)	(24.0, 3367.0)	(25.0, 14960.0)	(26.0, 31696.0)	(27.0, 57918.0)	(28.0, 98890.0)	(29.0, 153004.0)	(30.0, 219613.0)	(31.0, 301938.0)	(32.0, 408184.0)	(33.0, 567001.0)	(34.0, 897495.0)	(35.0, 2237986.0)	(36.0, 34552861.0)	(37.0, 6108008.0)	
WW5-1.2	(21.0, 5.0)	(22.0, 39.0)	(23.0, 730.0)	(24.0, 9395.0)	(25.0, 33531.0)	(26.0, 53468.0)	(27.0, 76276.0)	(28.0, 106186.0)	(29.0, 146113.0)	(30.0, 201069.0)	(31.0, 280897.0)	(32.0, 406660.0)	(33.0, 633244.0)	(34.0, 1240559.0)	(35.0, 4570517.0)	(36.0, 35490690.0)	(37.0, 2403852.0)	
WW5-3.1	(22.0, 25.0)	(23.0, 292.0)	(24.0, 3689.0)	(25.0, 16064.0)	(26.0, 33834.0)	(27.0, 61837.0)	(28.0, 103889.0)	(29.0, 162015.0)	(30.0, 231168.0)	(31.0, 318130.0)	(32.0, 426885.0)	(33.0, 593445.0)	(34.0, 943141.0)	(35.0, 2346741.0)	(36.0, 36078505.0)	(37.0, 6556586.0)		
WW5-3.2	(21.0, 8.0)	(22.0, 62.0)	(23.0, 1232.0)	(24.0, 16218.0)	(25.0, 54187.0)	(26.0, 83052.0)	(27.0, 114393.0)	(28.0, 154153.0)	(29.0, 208209.0)	(30.0, 282697.0)	(31.0, 394104.0)	(32.0, 584520.0)	(33.0, 981345.0)	(34.0, 2205909.0)	(35.0, 8491105.0)	(36.0, 33156802.0)	(37.0, 1148250.0)	
WW5-4.1	(21.0, 1.0)	(22.0, 17.0)	(23.0, 191.0)	(24.0, 2417.0)	(25.0, 10648.0)	(26.0, 22820.0)	(27.0, 42887.0)	(28.0, 72153.0)	(29.0, 112004.0)	(30.0, 158974.0)	(31.0, 214901.0)	(32.0, 286415.0)	(33.0, 392519.0)	(34.0, 615137.0)	(35.0, 1505991.0)	(36.0, 21136444.0)	(37.0, 3649262.0)	
WW5-4.2	(20.0, 2.0)	(21.0, 4.0)	(22.0, 19.0)	(23.0, 387.0)	(24.0, 6030.0)	(25.0, 21034.0)	(26.0, 33578.0)	(27.0, 47720.0)	(28.0, 66969.0)	(29.0, 93051.0)	(30.0, 129056.0)	(31.0, 182569.0)	(32.0, 263414.0)	(33.0, 411367.0)	(34.0, 799731.0)	(35.0, 2840459.0)	(36.0, 21761759.0)	(37.0, 1565632.0)
WW5-5.1	(21.0, 5.0)	(22.0, 34.0)	(23.0, 379.0)	(24.0, 5000.0)	(25.0, 22325.0)	(26.0, 46655.0)	(27.0, 84867.0)	(28.0, 140830.0)	(29.0, 216552.0)	(30.0, 306320.0)	(31.0, 416194.0)	(32.0, 554899.0)	(33.0, 765757.0)	(34.0, 1200878.0)	(35.0, 2957965.0)	(36.0, 46616119.0)	(37.0, 8724031.0)	
WW5-5.2	(20.0, 1.0)	(21.0, 3.0)	(22.0, 62.0)	(23.0, 969.0)	(24.0, 12602.0)	(25.0, 44060.0)	(26.0, 69460.0)	(27.0, 98097.0)	(28.0, 135011.0)	(29.0, 187959.0)	(30.0, 255660.0)	(31.0, 356543.0)	(32.0, 510270.0)	(33.0, 789591.0)	(34.0, 1517849.0)	(35.0, 5507692.0)	(36.0, 48795866.0)	(37.0, 3777115.0)
WW5-6.1	(21.0, 1.0)	(22.0, 25.0)	(23.0, 224.0)	(24.0, 2636.0)	(25.0, 11477.0)	(26.0, 24459.0)	(27.0, 44729.0)	(28.0, 76096.0)	(29.0, 118770.0)	(30.0, 169492.0)	(31.0, 229764.0)	(32.0, 307919.0)	(33.0, 424370.0)	(34.0, 666547.0)	(35.0, 1632164.0)	(36.0, 22546189.0)	(37.0, 3815707.0)	
WW5-6.2	(21.0, 1.0)	(22.0, 21.0)	(23.0, 470.0)	(24.0, 6962.0)	(25.0, 24412.0)	(26.0, 38887.0)	(27.0, 55924.0)	(28.0, 78238.0)	(29.0, 109605.0)	(30.0, 150304.0)	(31.0, 211675.0)	(32.0, 305199.0)	(33.0, 480338.0)	(34.0, 944289.0)	(35.0, 3425280.0)	(36.0, 22879792.0)	(37.0, 1359172.0)	
